公司代號,公司名稱
2440,2440 太空梭
2441,2441 超豐
2442,2442 新美齊
2443,2443 昶虹
2444,2444 兆勁
2449,2449 京元電子
2450,2450 神腦
2451,2451 創見
2453,2453 凌群
2454,2454 聯發科
2455,2455 全新
2457,2457 飛宏
2458,2458 義隆
2459,2459 敦吉
2460,2460 建通
2461,2461 光群雷
2462,2462 良得電
2464,2464 盟立
2465,2465 麗臺
2466,2466 冠西電
2467,2467 志聖
2468,2468 華經
2471,2471 資通
2472,2472 立隆電
2474,2474 可成
2476,2476 鉅祥
2477,2477 美隆電
2478,2478 大毅
2480,2480 敦陽科
2481,2481 強茂
2482,2482 連宇
2483,2483 百容
2484,2484 希華
2485,2485 兆赫
2486,2486 一詮
2488,2488 漢平
2489,2489 瑞軒
2491,2491 吉祥全
2492,2492 華新科
2493,2493 揚博
2495,2495 普安
2496,2496 卓越
2497,2497 怡利電
2498,2498 宏達電
2501,2501 國建
2504,2504 國產
2505,2505 國揚
2506,2506 太設
2509,2509 全坤建
2511,2511 太子
2514,2514 龍邦
2515,2515 中工
2516,2516 新建
2520,2520 冠德
2524,2524 京城
2527,2527 宏璟
2528,2528 皇普
2530,2530 華建
2534,2534 宏盛
2535,2535 達欣工
2536,2536 宏普
2537,2537 聯上發
2538,2538 基泰
2539,2539 櫻花建
2540,2540 愛山林
2542,2542 興富發
2543,2543 皇昌
2545,2545 皇翔
2546,2546 根基
2547,2547 日勝生
2548,2548 華固
2597,2597 潤弘
2601,2601 益航
2603,2603 長榮
2605,2605 新興
2606,2606 裕民
2607,2607 榮運
2608,2608 嘉里大榮
2609,2609 陽明
2610,2610 華航
2611,2611 志信
2612,2612 中航
2613,2613 中櫃
2614,2614 東森
2615,2615 萬海
2616,2616 山隆
2617,2617 台航
2618,2618 長榮航
2630,2630 亞航
2633,2633 台灣高鐵
2634,2634 漢翔
2636,2636 台驊投控
2637,2637 慧洋-KY
2642,2642 宅配通
2645,2645 長榮航太
2701,2701 萬企
2702,2702 華園
2704,2704 國賓
2705,2705 六福
2706,2706 第一店
2707,2707 晶華
2712,2712 遠雄來
2722,2722 夏都
2723,2723 美食-KY
2727,2727 王品
2731,2731 雄獅
2739,2739 寒舍
2748,2748 雲品
2753,2753 八方雲集
2801,2801 彰銀
2809,2809 京城銀
2812,2812 台中銀
2816,2816 旺旺保
2820,2820 華票
2832,2832 台產
2834,2834 臺企銀
2836,2836 高雄銀
2838,2838 聯邦銀
2845,2845 遠東銀
2849,2849 安泰銀
2850,2850 新產
2851,2851 中再保
2852,2852 第一保
